,Métrica,Valor
0,Mean Absolute Error (MAE),0.017711206162417927
1,Mean Squared Error (MSE),0.0010174602147167318
2,Root Mean Squared Error (RMSE),0.03189765218188843
3,R² Score,-0.3288958176146113
4,Explained Variance,-0.3198523153839492
